E_coil_per_burst_kJ,L_coil_uH,I_peak_kA,V_required_Blumlein_kV,C_PFN_uF,V0_PFN_kV
1,1,44.72136,4.472136,10.132118,14.049629
1,5,20,10,2.026424,31.415927
1,10,14.142136,14.142136,1.013212,44.428829
1,20,10,20,0.506606,62.831853
1,50,6.324555,31.622777,0.202642,99.345883
1,100,4.472136,44.72136,0.101321,140.496295
5,1,100,10,10.132118,31.415927
5,5,44.72136,22.36068,2.026424,70.248147
5,10,31.622777,31.622777,1.013212,99.345883
5,20,22.36068,44.72136,0.506606,140.496295
5,50,14.142136,70.710678,0.202642,222.144147
5,100,10,100,0.101321,314.159265
10,1,141.421356,14.142136,10.132118,44.428829
10,5,63.245553,31.622777,2.026424,99.345883
10,10,44.72136,44.72136,1.013212,140.496295
10,20,31.622777,63.245553,0.506606,198.691765
10,50,20,100,0.202642,314.159265
10,100,14.142136,141.421356,0.101321,444.288294
20,1,200,20,10.132118,62.831853
20,5,89.442719,44.72136,2.026424,140.496295
20,10,63.245553,63.245553,1.013212,198.691765
20,20,44.72136,89.442719,0.506606,280.992589
20,50,28.284271,141.421356,0.202642,444.288294
20,100,20,200,0.101321,628.318531
40,1,282.842712,28.284271,10.132118,88.857659
40,5,126.491106,63.245553,2.026424,198.691765
40,10,89.442719,89.442719,1.013212,280.992589
40,20,63.245553,126.491106,0.506606,397.383531
40,50,40,200,0.202642,628.318531
40,100,28.284271,282.842712,0.101321,888.576588
