"source_head","mcp_tool_name","family","source_name_resolution","registration_sites","descriptor_state","evidence_capability_id","offer_disposition","installed_catalog_acceptance"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_brokerage_live_acceptance_readiness","brokerage","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:9168","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_brokerage_paper_observer_process","brokerage","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:9324","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_brokerage_resident_observer_bootstrap","brokerage","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:9262","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_brokerage_robinhood_read","brokerage","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:9062","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_brokerage_robinhood_read_acceptance","brokerage","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:9121","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_brokerage_robinhood_room_bind","brokerage","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:9212","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_client_authorization_status","client","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:6082","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_desktop_tunnel_transition_execute","desktop","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:5762","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_desktop_tunnel_transition_inspect","desktop","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:5727","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_desktop_tunnel_transition_request","desktop","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:5609","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_action_authority_configure","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3192|full_helix_mcp:server/mcp/helix-mcp-server.ts:7778","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_action_authority_extend","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3271|full_helix_mcp:server/mcp/helix-mcp-server.ts:8111","gap","","unselected","not_run"
