photon_energy_keV,raw_photons_per_tonne_year_keV_R100nm,raw_photons_per_tonne_year_keV_R049nm,raw_photons_per_tonne_year_keV_colored_Ec10keV,atomic_shape_over_high_energy_R100nm
1.0,1.3962345815759654e-07,1.4636974019905225,1.3824104768078866e-07,0.009493555627900397
1.25,1.7305789871370397e-07,1.6862183156180577,1.7039546950272392e-07,0.014708620689222568
1.5,2.0553504004514162e-07,1.92014118758324,2.0101226410282798e-07,0.020962720325428976
1.75,2.368863652852487e-07,2.1557323962521613,2.2984729196870704e-07,0.02818698485915921
2.0,2.6695543807260637e-07,2.387520875859951,2.5668792122366e-07,0.036302729282814576
2.25,2.955995275553096e-07,2.6119999157799567,2.8135588583491696e-07,0.04522272861437598
2.5,3.2269106982510395e-07,2.8267146751591126,3.0370924218833313e-07,0.05485263118453708
2.75,3.481189448679847e-07,3.0298525438583708,3.236434118470514e-07,0.06509248648156751
3.0,3.717895519444486e-07,3.2200419752963185,3.410913320591272e-07,0.07583836211690514
3.25,3.9362766921012386e-07,3.3962465065909586,3.560227646897672e-07,0.0869840227911749
3.5,4.1357708616509566e-07,3.557705371017178,3.684428384544282e-07,0.09842264287176909
3.75,4.3160100037661684e-07,3.7038979983518896,3.7838991813840376e-07,0.1100485233695831
4.0,4.4768217289833915e-07,3.834521040348122,3.85932907670982e-07,0.12175878374914666
4.25,4.618228399041511e-07,3.949471910076495,3.9116810155989505e-07,0.1334549991423661
4.5,4.740443812418949e-07,4.048835513397336,3.942157016564615e-07,0.14504475417377524
4.75,4.843867498575947e-07,4.132872279525597,3.95216114111245e-07,0.1564430857492594
5.0,4.929076693046289e-07,4.202006395834754,3.9432613544370314e-07,0.16757378880705048
5.25,4.99681609790409e-07,4.256813619650228,3.9171512771418633e-07,0.17837056116677588
5.5,5.047985563781882e-07,4.298008326564539,3.875612716915073e-07,0.1887779662173962
5.75,5.083625860041731e-07,4.326429638690808,3.820479744512339e-07,0.19875219522623028
6.0,5.104902728391552e-07,4.343026599268052,3.75360494734673e-07,0.20826161448731711
6.25,5.113089441683482e-07,4.348842445476569,3.6768283625589086e-07,0.21728708630690127
6.5,5.109548113326309e-07,4.344998092505776,3.591949464552766e-07,0.22582205688641635
6.75,5.095710023206439e-07,4.3326749865615,3.500702463344913e-07,0.23387240844006663
7.0,5.073055242790561e-07,4.313097517163485,3.4047350622755444e-07,0.24145607729854474
7.25,5.043091854770655e-07,4.287515202490998,3.3055907282396754e-07,0.24860244421987923
7.5,5.00733507085806e-07,4.257184877334361,3.2046944453491587e-07,0.2553515075654634
7.75,4.96728655485384e-07,4.223353122421003,3.103341853871981e-07,0.261752854313523
8.0,4.924414256712781e-07,4.187239177159458,3.002691619946818e-07,0.267864447982146
8.25,4.880133056858358e-07,4.150018575635816,2.9037608371042667e-07,0.2737512563290124
8.5,4.835786508471544e-07,4.112807738358069,2.8074232269791255e-07,0.27948374509787194
8.75,4.792629948940975e-07,4.076649740094684,2.714409882586039e-07,0.2851362670107306
9.0,4.751815230302624e-07,4.042501457522193,2.625312281935151e-07,0.29078537758545775
9.25,4.714377292592602e-07,4.01122227964363,2.5405872913937904e-07,0.2965081111266368
9.5,4.6812227739673476e-07,3.9835645394742105,2.460563875935531e-07,0.3023802513402617
9.75,4.6531208176874694e-07,3.9601657977766602,2.385451236238369e-07,0.3084746314211141
10.0,4.6306961991805525e-07,3.9415430791870807,2.3153480995902763e-07,0.31485949813108577
10.25,4.614424857039009e-07,3.928089128476958,2.2502529019391693e-07,0.32159697331919856
10.5,4.604631870684456e-07,3.9200707205694973,2.190074611502714e-07,0.32874164453837473
10.75,4.60149188530549e-07,3.9176290229274193,2.1346439595502418e-07,0.3363393139160758
11.0,4.605031942354705e-07,3.920781973739789,2.0837248607939843e-07,0.3444259312788438
11.25,4.615136632197051e-07,3.929428604655366,2.0370258238662845e-07,0.3530267337742291
11.5,4.6315554452605146e-07,3.9433552033357735,1.994211171263946e-07,0.3621556099527636
11.75,4.6539121600606325e-07,3.962243179513733,1.9549119076127625e-07,0.37181470155686946
12.0,4.681716071525615e-07,3.9856784691881635,1.918736094887547e-07,0.38199425121440206
12.25,4.7143748318578727e-07,4.013162285671119,1.8852786130898764e-07,0.3926726989633869
12.5,4.7512086493781957e-07,4.044123003962342,1.8541302046353935e-07,0.40381702516028206
12.75,4.791465568970771e-07,4.077928946832951,1.8248857201507342e-07,0.4153833319701455
13.0,4.834337541338856e-07,4.113901827431925,1.7971515023564518e-07,0.4273176504282552
13.25,4.878976977636848e-07,4.151330594473951,1.7705518630571463e-07,0.43955695512219267
13.5,4.924513481386741e-07,4.189485422308053,1.744734625823469e-07,0.4520303639895074
13.75,4.970070451007322e-07,4.227631589478667,1.7193757235917225e-07,0.46466049666920145
14.0,5.01478125374328e-07,4.265042995738622,1.6941828559943515e-07,0.47736496138491585
14.25,5.057804685105061e-07,4.301015078710689,1.668898225648195e-07,0.49005793755972055
14.5,5.098339446816806e-07,4.334876907266794,1.6433003857588417e-07,0.5026518193367014
14.75,5.135637400293002e-07,4.366002248844495,1.617205243154655e-07,0.5150588839579477
15.0,5.169015381285369e-07,4.39381943189791,1.5904662711647288e-07,0.5271929485693897
15.25,5.197865393919576e-07,4.417819851948831,1.5629739955405603e-07,0.5389709794819632
15.5,5.221663038149192e-07,4.437564999656132,1.5346548238498728e-07,0.5503146192213954
15.75,5.239974062895799e-07,4.452691921292311,1.5054692944214904e-07,0.5611515988091591
16.0,5.252458976972243e-07,4.462917055298492,1.475409824992203e-07,0.5714170055850352
16.25,5.258875690423058e-07,4.468038422451151,1.444498043721355e-07,0.5810543804372756
16.5,5.25908019927534e-07,4.467936180875326,1.4127817862391779e-07,0.590016622462121
