symbol,source_module,candidate,reason
HELIX_ENVIRONMENT_CONNECTOR_CONTRACT_VERSION,shared/helix-environment-connector.ts,include,generic_probe_contract
HELIX_ENVIRONMENT_CAPABILITY_DESCRIPTOR_SCHEMA,shared/helix-environment-connector.ts,include,generic_probe_contract
HELIX_ENVIRONMENT_CATALOG_SNAPSHOT_SCHEMA,shared/helix-environment-connector.ts,include,generic_probe_contract
HELIX_ENVIRONMENT_PROBE_SUBMISSION_SCHEMA,shared/helix-environment-connector.ts,include,generic_probe_contract
HELIX_ENVIRONMENT_PROBE_REQUEST_V1_SCHEMA,shared/helix-environment-connector.ts,include,generic_probe_contract
HELIX_ENVIRONMENT_PROBE_RESULT_V1_SCHEMA,shared/helix-environment-connector.ts,include,generic_probe_contract
HELIX_ENVIRONMENT_PROBE_OBSERVATION_SCHEMA,shared/helix-environment-connector.ts,include,generic_probe_contract
HELIX_ENVIRONMENT_PAIRING_SESSION_SCHEMA,shared/helix-environment-connector.ts,include,generic_probe_contract
HELIX_ENVIRONMENT_PROBE_CAPABILITY,shared/helix-environment-connector.ts,include,generic_probe_contract
HELIX_MINECRAFT_INVENTORY_CHECK_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_ACTOR_STATUS_READ_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_NEARBY_ENTITIES_LIST_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_HAZARDS_SCAN_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_LOCAL_MAP_INSPECT_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_SPATIAL_REGION_INSPECT_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_LINE_OF_SIGHT_CHECK_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_CROP_STATE_READ_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_REACHABILITY_CHECK_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_PERCEPTION_SNAPSHOT_READ_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_REGISTRY_FACT_READ_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_RECIPE_FACT_READ_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_CONTAINER_CONTENTS_READ_CAPABILITY,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_SITUATION_CAPABILITY_IDS,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_MECHANICS_FACT_CAPABILITY_IDS,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_MINECRAFT_READ_ONLY_CAPABILITY_IDS,shared/helix-environment-connector.ts,defer,minecraft_specific_separate_review
HELIX_SYNTHETIC_REACHABILITY_CAPABILITY,shared/helix-environment-connector.ts,include,probe_example_identity
HELIX_SYSTEM_CLOCK_READ_CAPABILITY,shared/helix-environment-connector.ts,include,probe_example_identity
helixEnvironmentCapabilityClassSchema,shared/helix-environment-connector.ts,include,generic_probe_contract
helixEnvironmentProbeOutcomeSchema,shared/helix-environment-connector.ts,include,generic_probe_contract
HelixEnvironmentProbeOutcome,shared/helix-environment-connector.ts,include,generic_probe_contract
HelixEnvironmentConstrainedJsonSchema,shared/helix-environment-connector.ts,include,generic_probe_contract
helixEnvironmentConstrainedJsonSchema,shared/helix-environment-connector.ts,include,generic_probe_contract
helixEnvironmentCapabilityDescriptorSchema,shared/helix-environment-connector.ts,include,generic_probe_contract
HelixEnvironmentCapabilityDescriptor,shared/helix-environment-connector.ts,include,generic_probe_contract
helixEnvironmentCatalogSnapshotSchema,shared/helix-environment-connector.ts,include,generic_probe_contract
HelixEnvironmentCatalogSnapshot,shared/helix-environment-connector.ts,include,generic_probe_contract
helixEnvironmentProbeSubmissionSchema,shared/helix-environment-connector.ts,include,generic_probe_contract
HelixEnvironmentProbeSubmission,shared/helix-environment-connector.ts,include,generic_probe_contract
helixEnvironmentConnectorProbeRequestSchema,shared/helix-environment-connector.ts,include,generic_probe_contract
HelixEnvironmentConnectorProbeRequest,shared/helix-environment-connector.ts,include,generic_probe_contract
helixEnvironmentConnectorProbeResultSchema,shared/helix-environment-connector.ts,include,generic_probe_contract
HelixEnvironmentConnectorProbeResult,shared/helix-environment-connector.ts,include,generic_probe_contract
helixEnvironmentProbeObservationSchema,shared/helix-environment-connector.ts,include,generic_probe_contract
HelixEnvironmentProbeObservation,shared/helix-environment-connector.ts,include,generic_probe_contract
helixEnvironmentPairingSessionSchema,shared/helix-environment-connector.ts,include,generic_probe_contract
HelixEnvironmentPairingSession,shared/helix-environment-connector.ts,include,generic_probe_contract
EnvironmentConnectorSchemaIssue,shared/helix-environment-connector-conformance.ts,include,probe_schema_conformance
validateEnvironmentConnectorSchemaValue,shared/helix-environment-connector-conformance.ts,include,probe_schema_conformance
compileEnvironmentConnectorSchema,shared/helix-environment-connector-conformance.ts,include,probe_schema_conformance
HELIX_ENVIRONMENT_ADAPTER_PROFILE_SCHEMA,shared/helix-environment-adapter-profile.ts,defer,adapter_profile_outside_probe_kit
HELIX_ENVIRONMENT_ADAPTER_ADMISSION_SCHEMA,shared/helix-environment-adapter-profile.ts,defer,adapter_profile_outside_probe_kit
HELIX_MINECRAFT_ADAPTER_PROFILE_ID,shared/helix-environment-adapter-profile.ts,defer,minecraft_specific_separate_review
HELIX_SYNTHETIC_GAME_ADAPTER_PROFILE_ID,shared/helix-environment-adapter-profile.ts,defer,adapter_profile_outside_probe_kit
HELIX_SYSTEM_CLOCK_ADAPTER_PROFILE_ID,shared/helix-environment-adapter-profile.ts,defer,adapter_profile_outside_probe_kit
helixEnvironmentMechanicsCollectionRefSchema,shared/helix-environment-adapter-profile.ts,defer,internal_mechanics_or_registry
helixEnvironmentAdapterProfileSchema,shared/helix-environment-adapter-profile.ts,defer,adapter_profile_outside_probe_kit
HelixEnvironmentMechanicsCollectionRef,shared/helix-environment-adapter-profile.ts,defer,internal_mechanics_or_registry
HelixEnvironmentAdapterProfile,shared/helix-environment-adapter-profile.ts,defer,adapter_profile_outside_probe_kit
helixEnvironmentAdapterAdmissionProjectionSchema,shared/helix-environment-adapter-profile.ts,defer,adapter_profile_outside_probe_kit
HelixEnvironmentAdapterAdmissionProjection,shared/helix-environment-adapter-profile.ts,defer,adapter_profile_outside_probe_kit
HelixEnvironmentAdapterRegistryRecord,shared/helix-environment-adapter-profile.ts,defer,internal_mechanics_or_registry
HELIX_ENVIRONMENT_SOURCE_MANIFEST_SCHEMA,shared/helix-environment-source-manifest.ts,include,source_manifest_and_heartbeat
HELIX_ENVIRONMENT_SOURCE_HEARTBEAT_SCHEMA,shared/helix-environment-source-manifest.ts,include,source_manifest_and_heartbeat
HelixEnvironmentSourceModality,shared/helix-environment-source-manifest.ts,include,source_manifest_and_heartbeat
HelixEnvironmentSnapshotSection,shared/helix-environment-source-manifest.ts,include,source_manifest_and_heartbeat
HelixEnvironmentManifestProbeType,shared/helix-environment-source-manifest.ts,include,source_manifest_and_heartbeat
HelixEnvironmentForbiddenProbeType,shared/helix-environment-source-manifest.ts,include,source_manifest_and_heartbeat
HelixEnvironmentSourceManifest,shared/helix-environment-source-manifest.ts,include,source_manifest_and_heartbeat
HelixEnvironmentSourceHeartbeat,shared/helix-environment-source-manifest.ts,include,source_manifest_and_heartbeat
helixEnvironmentSourceManifestSchema,shared/helix-environment-source-manifest.ts,include,source_manifest_and_heartbeat
helixEnvironmentSourceHeartbeatSchema,shared/helix-environment-source-manifest.ts,include,source_manifest_and_heartbeat
