source_tool,context,variant,first_customer_treatment,case_ref
helix_client_authorization_status,personal_environment,status,personal_visible_target,FP-01
helix_minecraft_actor_status,personal_environment,actor_status,personal_visible_target,FP-02
helix_minecraft_situation_probe,personal_environment,probe.kind=inventory,personal_visible_target,FP-03
helix_minecraft_situation_probe,personal_environment,probe.kind=local_map,personal_visible_target,FP-04
helix_minecraft_situation_probe,personal_environment,probe.kind=spatial_region,personal_visible_target,FP-05
helix_minecraft_situation_probe,personal_environment,probe.kind=reachability,personal_visible_target,FP-06
helix_minecraft_player_action,personal_environment,action_kind=mine,personal_visible_target,FP-07
helix_environment_action_authority_inspect,personal_environment,inspect,personal_safety_target,FP-08
helix_environment_action_authority_configure,personal_environment,configure,wizard_internal_target,FP-09
helix_environment_action_authority_revoke,personal_environment,revoke,personal_safety_target,FP-10
helix_minecraft_workflow_status,personal_environment,status,personal_safety_target,FP-11
helix_minecraft_workflow_control,personal_environment,control=cancel,personal_safety_target,FP-12
helix_minecraft_workflow_control,personal_environment,control=emergency_stop,personal_safety_target,FP-13
helix_environment_device_check,personal_environment,readiness,wizard_internal_target,P01
helix_room_source_create,personal_environment,owner_source_create,wizard_internal_target,P02
helix_environment_source_pair_local,personal_environment,source_pair,wizard_internal_target,P02
helix_environment_subject_list,personal_environment,subject_list,wizard_internal_target,P03
helix_environment_subject_select,personal_environment,subject_select,wizard_internal_target,P03
helix_environment_player_pair_local,personal_environment,player_pair,wizard_internal_target,P03
helix_minecraft_local_lifecycle_launch,personal_environment,launch_and_join,wizard_internal_target,P03
helix_public_ui_catalog,personal_environment,catalog_projection,wizard_internal_target,P08
helix_room_create,hosted_room,create,reference_only_deferred,H01
helix_room_list,hosted_room,list,reference_only_deferred,H01
helix_room_inspect,hosted_room,inspect,reference_only_deferred,H01
helix_room_source_create,hosted_room,owner_source_create,reference_only_deferred,H03
helix_room_source_list,hosted_room,owner_source_list,reference_only_deferred,H03
helix_minecraft_player_action,hosted_room,action_kind=mine,conditional_optional_guest_mcp,FH-02+FH-03
helix_environment_action_authority_revoke,hosted_room,owner_revoke,conditional_owner_safety,H05
helix_minecraft_workflow_status,hosted_room,owner_status,conditional_owner_safety,H05
helix_minecraft_workflow_control,hosted_room,control=cancel,conditional_owner_safety,H05
helix_minecraft_workflow_control,hosted_room,control=emergency_stop,conditional_owner_safety,H05
