"mcp_tool_name","family","review_lane","special_case","selection_state","installed_acceptance","source_head"
"helix_brokerage_live_acceptance_readiness","brokerage","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_brokerage_paper_observer_process","brokerage","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_brokerage_resident_observer_bootstrap","brokerage","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_brokerage_robinhood_read","brokerage","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_brokerage_robinhood_read_acceptance","brokerage","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_brokerage_robinhood_room_bind","brokerage","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_client_authorization_status","client","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_desktop_tunnel_transition_execute","desktop","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_desktop_tunnel_transition_inspect","desktop","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_desktop_tunnel_transition_request","desktop","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_action_authority_configure","environment","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_action_authority_extend","environment","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_action_authority_inspect","environment","safety_or_status","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_action_authority_revoke","environment","safety_or_status","stop_after_expiry","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_command_authority_configure","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_device_check","environment","safety_or_status","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_goal_append","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_goal_checkpoint_hash","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_goal_create","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_goal_inspect","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_monitor_acknowledge","environment","specialist_unqualified","monitor_recovery_policy_if_supported","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_monitor_create","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_monitor_inspect","environment","specialist_unqualified","monitor_safety_exception_if_supported","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_monitor_read","environment","specialist_unqualified","monitor_safety_exception_if_supported","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_monitor_revoke","environment","specialist_unqualified","monitor_safety_exception_if_supported","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_monitor_snapshot_record","environment","specialist_unqualified","monitor_recovery_policy_if_supported","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_player_pair_local","environment","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_reasoning_role_arbitrate","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_reasoning_role_disposition","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_reasoning_role_inspect","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_reasoning_role_record","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_semantic_wake_read","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_server_pair_local","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_session_ready_up","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_source_pair_local","environment","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_subject_list","environment","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_subject_select","environment","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_temporal_frontier_publish","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_temporal_plan_submit","environment","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_environment_temporal_plan_submit_direct","environment","specialist_unqualified","direct_mcp_nav_qualification_only","unselected","not_run","cc5a7a4c1ac956606aea756f59e6fcb0324a9f93"
"helix_evidence_observation_get","evidence","safety_or_status","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_local_supervisor_coordination_read","local","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_local_supervisor_presence_disconnect","local","safety_or_status","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_local_supervisor_presence_update","local","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_local_supervisor_relay_acknowledge","local","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_local_supervisor_relay_publish","local","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_actor_status","minecraft","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_companion_custody_evidence_read","minecraft","specialist_unqualified","conditional_private_evidence","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_companion_follow_evidence_read","minecraft","specialist_unqualified","conditional_private_evidence","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_companion_mining_evidence_read","minecraft","specialist_unqualified","conditional_private_evidence","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_companion_presence_evidence_read","minecraft","specialist_unqualified","conditional_private_evidence","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_companion_room_custody_evidence_read","minecraft","specialist_unqualified","conditional_private_evidence","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_companion_room_follow_evidence_read","minecraft","specialist_unqualified","conditional_private_evidence","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_companion_room_mining_evidence_read","minecraft","specialist_unqualified","conditional_private_evidence","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_companion_room_presence_evidence_read","minecraft","specialist_unqualified","conditional_private_evidence","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_local_lifecycle_launch","minecraft","personal_candidate","current_developer_gate","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_player_action","minecraft","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_situation_probe","minecraft","personal_candidate","no_shadow_equivalent","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
